# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Fri Apr  8 14:41:56 CEST 2022
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01520		Age = 	3.000e+08 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	8.48	3.22448850	3.2182	2.3807	4.0274	3.6205	-1.182	-1.082	-0.875	-0.802	-0.779	-0.746	-0.673	-0.652	-0.632	3.30786562	          
	8.48	3.22525716	3.2190	2.4150	4.0438	3.6517	-1.268	-1.149	-0.890	-0.806	-0.778	-0.739	-0.649	-0.622	-0.598	3.30787849	 Te-M     
	8.48	3.22537136	3.2191	2.4008	4.0409	3.6545	-1.232	-1.116	-0.866	-0.785	-0.758	-0.719	-0.633	-0.606	-0.584	3.30788040	          
	8.48	3.22552323	3.2192	2.3679	4.0297	3.6427	-1.150	-1.045	-0.832	-0.758	-0.734	-0.701	-0.626	-0.603	-0.583	3.30788302	          
	8.48	3.22572970	3.2194	2.3583	4.0153	3.5945	-1.126	-1.036	-0.868	-0.805	-0.785	-0.758	-0.700	-0.682	-0.666	3.30788660	          
	8.48	3.22602105	3.2197	2.3713	3.9990	3.5165	-1.158	-1.084	-0.967	-0.915	-0.900	-0.881	-0.842	-0.830	-0.819	3.30789137	          
	8.48	3.22643089	3.2201	2.3872	3.9808	3.4277	-1.198	-1.131	-1.069	-1.035	-1.030	-1.022	-1.005	-1.001	-0.994	3.30789828	          
	8.48	3.22697377	3.2207	2.3946	3.9598	3.3365	-1.216	-1.144	-1.144	-1.137	-1.146	-1.152	-1.163	-1.170	-1.169	3.30790734	          
	8.48	3.22713161	3.2208	2.3954	3.9539	3.3123	-1.218	-1.143	-1.161	-1.162	-1.174	-1.185	-1.204	-1.214	-1.215	3.30790997	 L-M      
	8.48	3.22769809	3.2214	2.3924	3.9337	3.2345	-1.211	-1.107	-1.179	-1.216	-1.248	-1.279	-1.328	-1.352	-1.358	3.30791950	          
